 year,state_id,fed_marg,fed_avg,fed_elas,st_marg,       st_avg,st_elas,c_marg,c_avg,c_elas,state_abv
1960,   52,    0.2364,    0.1359,    1.7709,    0.0000,    0.0000,    0.0000,    0.2364,    0.1359,    0.0000, "US"
1961,   52,    0.2395,    0.1382,    1.7636,    0.0000,    0.0000,    0.0000,    0.2395,    0.1382,    0.0000, "US"
1962,   52,    0.2414,    0.1388,    1.7694,    0.0000,    0.0000,    0.0000,    0.2414,    0.1388,    0.0000, "US"
1963,   52,    0.2458,    0.1422,    1.7592,    0.0000,    0.0000,    0.0000,    0.2458,    0.1422,    0.0000, "US"
1964,   52,    0.2254,    0.1288,    1.7807,    0.0000,    0.0000,    0.0000,    0.2254,    0.1288,    0.0000, "US"
1965,   52,    0.2185,    0.1247,    1.7828,    0.0000,    0.0000,    0.0000,    0.2185,    0.1247,    0.0000, "US"
1966,   52,    0.2227,    0.1290,    1.7563,    0.0000,    0.0000,    0.0000,    0.2227,    0.1290,    0.0000, "US"
1967,   52,    0.2247,    0.1263,    1.8111,    0.0000,    0.0000,    0.0000,    0.2247,    0.1263,    0.0000, "US"
1968,   52,    0.2552,    0.1507,    1.7226,    0.0000,    0.0000,    0.0000,    0.2552,    0.1507,    0.0000, "US"
1969,   52,    0.2597,    0.1471,    1.7977,    0.0000,    0.0000,    0.0000,    0.2597,    0.1471,    0.0000, "US"
1970,   52,    0.2510,    0.1464,    1.7446,    0.0000,    0.0000,    0.0000,    0.2510,    0.1464,    0.0000, "US"
1971,   52,    0.2374,    0.1287,    1.8789,    0.0000,    0.0000,    0.0000,    0.2374,    0.1287,    0.0000, "US"
1972,   52,    0.2432,    0.1374,    1.8020,    0.0000,    0.0000,    0.0000,    0.2432,    0.1374,    0.0000, "US"
1973,   52,    0.2513,    0.1426,    1.7942,    0.0000,    0.0000,    0.0000,    0.2513,    0.1426,    0.0000, "US"
1974,   52,    0.2588,    0.1440,    1.8306,    0.0000,    0.0000,    0.0000,    0.2588,    0.1440,    0.0000, "US"
1975,   52,    0.2653,    0.1415,    1.9101,    0.0000,    0.0000,    0.0000,    0.2653,    0.1415,    0.0000, "US"
1976,   52,    0.2725,    0.1398,    1.9885,    0.0000,    0.0000,    0.0000,    0.2725,    0.1398,    0.0000, "US"
1977,    1,    0.7368,    0.5577,    1.3388,    0.0199,    0.0237,    0.8477,    0.7566,    0.5813,    1.3187, "AL"
1977,    4,    0.7076,    0.5144,    1.3948,    0.0735,    0.0572,    1.3022,    0.7811,    0.5716,    1.3855, "AR"
1977,    5,    0.6685,    0.5128,    1.3208,    0.1348,    0.1127,    1.2105,    0.8033,    0.6255,    1.3009, "CA"
1977,    6,    0.6974,    0.5138,    1.3761,    0.0386,    0.0384,    1.0153,    0.7360,    0.5522,    1.3509, "CO"
1977,    7,    0.6668,    0.5133,    1.3160,    0.0360,    0.0363,    1.0008,    0.7028,    0.5496,    1.2952, "CT"
1977,    9,    0.6901,    0.5558,    1.2573,    0.1153,    0.1045,    1.1154,    0.8054,    0.6603,    1.2348, "DC"
1977,   10,    0.7549,    0.5825,    1.3130,    0.0000,    0.0000,    0.0000,    0.7549,    0.5825,    0.2112, "FL"
1977,   11,    0.5989,    0.4602,    1.3186,    0.0609,    0.0521,    1.1821,    0.6598,    0.5123,    1.3047, "GA"
1977,   12,    0.7148,    0.5468,    1.3247,    0.1079,    0.0874,    1.2497,    0.8227,    0.6342,    1.3143, "HI"
1977,   14,    0.7118,    0.5474,    1.3174,    0.0325,    0.0324,    1.0122,    0.7443,    0.5799,    1.3003, "IL"
1977,   15,    0.6870,    0.5091,    1.3681,    0.0218,    0.0216,    1.0233,    0.7089,    0.5306,    1.3540, "IN"
1977,   16,    0.7749,    0.5882,    1.3349,    0.0536,    0.0467,    1.1625,    0.8285,    0.6349,    1.3222, "IA"
1977,   17,    0.7331,    0.5648,    1.3152,    0.0358,    0.0341,    1.0585,    0.7689,    0.5989,    1.3005, "KS"
1977,   18,    0.8328,    0.6124,    1.3786,    0.0234,    0.0236,    1.0001,    0.8562,    0.6360,    1.3645, "KY"
1977,   19,    0.7639,    0.5851,    1.3229,    0.0240,    0.0313,    0.7721,    0.7879,    0.6164,    1.2948, "LA"
1977,   21,    0.6595,    0.5046,    1.3243,    0.0750,    0.0669,    1.1342,    0.7346,    0.5715,    1.3020, "MD"
1977,   22,    0.6697,    0.5022,    1.3517,    0.1127,    0.1125,    1.0120,    0.7824,    0.6147,    1.2893, "MA"
1977,   23,    0.6802,    0.5208,    1.3234,    0.0533,    0.0515,    1.0443,    0.7335,    0.5723,    1.2982, "MI"
1977,   24,    0.7961,    0.6065,    1.3301,    0.0763,    0.0829,    0.9293,    0.8724,    0.6894,    1.2817, "MN"
1977,   25,    0.7689,    0.5877,    1.3256,    0.0362,    0.0319,    1.1468,    0.8050,    0.6196,    1.3164, "MS"
1977,   26,    0.7271,    0.5569,    1.3230,    0.0231,    0.0236,    0.9911,    0.7503,    0.5805,    1.3094, "MO"
1977,   28,    0.6213,    0.4865,    1.2938,    0.1197,    0.0943,    1.2864,    0.7411,    0.5807,    1.2926, "NE"
1977,   31,    0.7196,    0.5492,    1.3276,    0.0365,    0.0363,    1.0174,    0.7561,    0.5855,    1.3084, "NJ"
1977,   33,    0.6215,    0.4714,    1.3359,    0.2054,    0.1774,    1.1715,    0.8269,    0.6488,    1.2909, "NY"
1977,   34,    0.7083,    0.5595,    1.2821,    0.1037,    0.0957,    1.0962,    0.8120,    0.6551,    1.2550, "NC"
1977,   36,    0.7225,    0.5508,    1.3293,    0.0400,    0.0385,    1.0517,    0.7626,    0.5892,    1.3111, "OH"
1977,   37,    0.7055,    0.5390,    1.3262,    0.0634,    0.0526,    1.2186,    0.7688,    0.5916,    1.3166, "OK"
1977,   38,    0.6080,    0.4757,    1.2946,    0.1279,    0.1131,    1.1436,    0.7359,    0.5889,    1.2655, "OR"
1977,   39,    0.7074,    0.5511,    1.3003,    0.0276,    0.0279,    1.0000,    0.7350,    0.5790,    1.2858, "PA"
1977,   41,    0.6601,    0.5055,    1.3233,    0.0740,    0.0650,    1.1510,    0.7341,    0.5705,    1.3036, "SC"
1977,   43,    0.7202,    0.5464,    1.3356,    0.0207,    0.0209,    1.0000,    0.7408,    0.5673,    1.3232, "TN"
1977,   44,    0.7384,    0.5688,    1.3153,    0.0000,    0.0000,    0.0000,    0.7384,    0.5688,    0.1497, "TX"
1977,   45,    0.6367,    0.4530,    1.4256,    0.0329,    0.0316,    1.0502,    0.6695,    0.4846,    1.4010, "UT"
1977,   47,    0.7347,    0.5834,    1.2755,    0.0658,    0.0572,    1.1638,    0.8005,    0.6406,    1.2655, "VA"
1977,   48,    0.7236,    0.5583,    1.3131,    0.0000,    0.0000,    0.0000,    0.7236,    0.5583,    0.8730, "WA"
1977,   50,    0.6379,    0.4575,    1.4140,    0.1319,    0.1088,    1.2280,    0.7698,    0.5663,    1.3782, "WI"
1977,   52,    0.2801,    0.1458,    1.9596,    0.0009,    0.0008,    1.1129,    0.2811,    0.1466,    1.9547, "US"
1978,    1,    0.6899,    0.4747,    1.4748,    0.0205,    0.0266,    0.7761,    0.7104,    0.5013,    1.4375, "AL"
1978,    4,    0.5789,    0.3669,    1.6029,    0.0755,    0.0547,    1.3987,    0.6544,    0.4217,    1.5763, "AR"
1978,    5,    0.6236,    0.4270,    1.4820,    0.1345,    0.1038,    1.3126,    0.7582,    0.5309,    1.4488, "CA"
1978,    6,    0.6097,    0.4232,    1.4618,    0.0374,    0.0349,    1.0814,    0.6470,    0.4581,    1.4327, "CO"
1978,    7,    0.6768,    0.4663,    1.4729,    0.0326,    0.0329,    1.0010,    0.7095,    0.4992,    1.4417, "CT"
1978,    9,    0.6552,    0.4604,    1.4437,    0.1146,    0.0929,    1.2484,    0.7698,    0.5533,    1.4108, "DC"
1978,   10,    0.7476,    0.5213,    1.4550,    0.0000,    0.0000,    0.0000,    0.7476,    0.5213,    0.2324, "FL"
1978,   11,    0.6397,    0.4423,    1.4674,    0.0643,    0.0547,    1.1899,    0.7040,    0.4970,    1.4368, "GA"
1978,   12,    0.6655,    0.4573,    1.4770,    0.1085,    0.0840,    1.3090,    0.7740,    0.5412,    1.4509, "HI"
1978,   14,    0.6718,    0.4601,    1.4817,    0.0320,    0.0320,    1.0102,    0.7038,    0.4921,    1.4510, "IL"
1978,   15,    0.6869,    0.4713,    1.4790,    0.0225,    0.0225,    1.0109,    0.7094,    0.4938,    1.4576, "IN"
1978,   16,    0.6603,    0.4466,    1.5006,    0.0544,    0.0445,    1.2372,    0.7147,    0.4911,    1.4767, "IA"
1978,   17,    0.6575,    0.4454,    1.4982,    0.0365,    0.0311,    1.1884,    0.6940,    0.4765,    1.4779, "KS"
1978,   18,    0.5982,    0.4249,    1.4278,    0.0251,    0.0251,    1.0117,    0.6233,    0.4500,    1.4045, "KY"
1978,   19,    0.6650,    0.4574,    1.4755,    0.0212,    0.0310,    0.6899,    0.6863,    0.4884,    1.4252, "LA"
1978,   21,    0.6283,    0.4323,    1.4750,    0.0690,    0.0573,    1.2196,    0.6974,    0.4896,    1.4450, "MD"
1978,   22,    0.6106,    0.4122,    1.5037,    0.1099,    0.1099,    1.0099,    0.7205,    0.5221,    1.3994, "MA"
1978,   23,    0.6542,    0.4480,    1.4819,    0.0510,    0.0506,    1.0169,    0.7052,    0.4986,    1.4345, "MI"
1978,   24,    0.6177,    0.4132,    1.5176,    0.0764,    0.0712,    1.0838,    0.6941,    0.4844,    1.4536, "MN"
1978,   25,    0.6655,    0.4490,    1.5044,    0.0346,    0.0308,    1.1334,    0.7001,    0.4799,    1.4805, "MS"
1978,   26,    0.6457,    0.4411,    1.4857,    0.0213,    0.0205,    1.0515,    0.6670,    0.4615,    1.4664, "MO"
1978,   28,    0.6740,    0.4557,    1.5011,    0.1171,    0.0781,    1.5214,    0.7911,    0.5339,    1.5040, "NE"
1978,   31,    0.6920,    0.4823,    1.4557,    0.0371,    0.0366,    1.0235,    0.7291,    0.5189,    1.4251, "NJ"
1978,   33,    0.5765,    0.3917,    1.4936,    0.1883,    0.1437,    1.3275,    0.7647,    0.5354,    1.4490, "NY"
1978,   34,    0.6006,    0.4201,    1.4503,    0.0883,    0.0800,    1.1165,    0.6888,    0.5000,    1.3968, "NC"
1978,   36,    0.6635,    0.4548,    1.4804,    0.0381,    0.0367,    1.0501,    0.7016,    0.4915,    1.4482, "OH"
1978,   37,    0.6988,    0.4897,    1.4478,    0.0665,    0.0515,    1.3079,    0.7653,    0.5412,    1.4344, "OK"
1978,   38,    0.5826,    0.4037,    1.4642,    0.1252,    0.1024,    1.2376,    0.7077,    0.5061,    1.4182, "OR"
1978,   39,    0.7322,    0.4979,    1.4923,    0.0336,    0.0340,    1.0000,    0.7658,    0.5319,    1.4607, "PA"
1978,   41,    0.6755,    0.4666,    1.4690,    0.0776,    0.0642,    1.2232,    0.7531,    0.5308,    1.4392, "SC"
1978,   43,    0.6832,    0.4790,    1.4469,    0.0213,    0.0215,    1.0000,    0.7046,    0.5006,    1.4276, "TN"
1978,   44,    0.6769,    0.4680,    1.4675,    0.0000,    0.0000,    0.0000,    0.6769,    0.4680,    0.1592, "TX"
1978,   45,    0.7011,    0.4834,    1.4716,    0.0364,    0.0338,    1.0904,    0.7375,    0.5172,    1.4466, "UT"
1978,   47,    0.6324,    0.4497,    1.4262,    0.0600,    0.0480,    1.2667,    0.6924,    0.4977,    1.4108, "VA"
1978,   48,    0.7067,    0.4916,    1.4584,    0.0000,    0.0000,    0.0000,    0.7067,    0.4916,    1.2692, "WA"
1978,   50,    0.5506,    0.3705,    1.5088,    0.1324,    0.1084,    1.2360,    0.6830,    0.4789,    1.4469, "WI"
1978,   52,    0.2826,    0.1426,    2.0221,    0.0010,    0.0009,    1.1715,    0.2836,    0.1434,    2.0169, "US"
